w,y,square_meters,bathrooms_number,lift,rooms_number,other_features,total_floors_in_building,car_parking,availability,condominium_fees,year_of_construction,conditions,zone,floor,heating_centralized,energy_efficiency_class
1,1125000,135,2,yes,3,optic fiber | security door | balcony | full day concierge | cellar,7,no,available,417,NA,excellent / refurbished,quadronno - crocetta,2,central,g
1,500000,57,1,yes,2,optic fiber | video entryphone | alarm system | security door | external exposure | closet | half-day concierge | centralized tv system | partially furnished | window frames in double glass / pvc,7,1 in garage/box,available,No condominium fees,2010,excellent / refurbished,porta romana - medaglie d'oro,1,central,e
1,395000,92,1,yes,3,electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | half-day concierge | furnished | cellar | shared garden | window frames in double glass / pvc,8,no,available,200,1960,excellent / refurbished,gallaratese,1,central,e
1,340000,63,1,no,2,optic fiber | video entryphone | security door | full day concierge | window frames in double glass / pvc,8,no,NA,208,NA,excellent / refurbished,martini - insubria,mezzanine,central,f
1,199000,38,1,no,1,optic fiber | security door | internal exposure | centralized tv system | furnished | cellar | window frames in double glass / pvc,4,no,available,80,1930,excellent / refurbished,navigli - darsena,1,independent,g
1,299000,45,1,no,1,electric gate | optic fiber | security door | internal exposure | centralized tv system | furnished | cellar | window frames in glass / wood,5,no,available,100,1911,good condition / liveable,porta romana - medaglie d'oro,1,central,g
1,145000,60,1,no,2,optic fiber | security door | external exposure | balcony | centralized tv system | furnished | window frames in double glass / pvc,6,no,NA,167,1950,good condition / liveable,giambellino,5,central,g
1,1400000,230,3,yes,5+,electric gate | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / metal | double exposure,6,no,available,600,1970,to be refurbished,morgagni,1,central,NA
1,590000,50,1,no,2,electric gate | optic fiber | alarm system | security door | internal exposure | closet | centralized tv system | furnished | window frames in double glass / pvc,3,no,available,200,1900,excellent / refurbished,ticinese,2,independent,NA
1,1290000,170,2,yes,4,security door | balcony | terrace | half-day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,6,no,available,500,1970,good condition / liveable,de angeli,6,central,g
1,419000,66,1,yes,2,electric gate | optic fiber | video entryphone | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal,8,no,available,100,1970,new / under construction,palestro,semi-basement,independent,b
1,220000,60,2,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | external exposure | closet | centralized tv system | furnished | window frames in double glass / pvc,3,no,available,60,1940,excellent / refurbished,cermenate - abbiategrasso,ground floor,independent,e
1,199000,60,1,no,2,electric gate | optic fiber | security door | external exposure | closet | balcony | centralized tv system | furnished | window frames in double glass / metal,1 floor,no,available,150,1940,good condition / liveable,vigentino - fatima,1,central,g
1,350000,70,1,NA,3,electric gate | optic fiber | video entryphone | security door | centralized tv system | window frames in double glass / pvcdouble exposure,4,no,available,200,1960,excellent / refurbished,rovereto,mezzanine,central,g
1,1050000,85,2,yes,2,hydromassage | electric gate | fireplace | optic fiber | security door | closet | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / wood | double exposure,4,no,available from 01/04/2024,250,1900,good condition / liveable,brera,3,independent,g
1,465000,86,1,yes,3,electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure,8,1 in garage/box,available,250,NA,excellent / refurbished,pezzotti - meda,8,central,NA
1,230000,40,1,yes,2,security door | window frames in double glass / metal | double exposure,3,no,available,70,2023,new / under construction,dergano,2,independent,a
1,495000,110,1,yes,4,"kitchen | terrace | cellar | window frames in glass / wood | exposure north, south",5,no,available,250,1960,good condition / liveable,ghisolfa - mac mahon,1,central,NA
1,255000,117,2,yes,4,optic fiber | video entryphone | security door | external exposure | centralized tv system | partially furnished | shared garden | window frames in double glass / pvc,8,no,available,No condominium fees,1960,new / under construction,crescenzago,ground floor,independent,g
1,540000,400,1,yes,3,hydromassage | electric gate | fireplace | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | furnished,8,no,available,290,1978,good condition / liveable,villa san giovanni,7,central,e
1,730000,127,2,no,3,optic fiber | alarm system | security door | internal exposure | closet | balcony | terrace | centralized tv system | furnished | window frames in double glass / pvc,2,no,available,174,1970,excellent / refurbished,barona,2,independent,d
1,380000,53,1,yes,2,electric gate | security door | internal exposure | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / pvc,6,no,available,135,1960,excellent / refurbished,dezza,3,central,d
