,y
0,1125000
1,500000
2,395000
3,340000
4,199000
5,299000
6,145000
7,1400000
8,590000
9,1290000
10,419000
11,220000
12,199000
13,350000
14,1050000
15,465000
16,230000
17,495000
18,255000
19,540000
20,730000
21,380000
22,178000
23,324000
24,1110000
25,335000
26,208000
27,525000
28,355000
29,159000
30,1250000
31,210000
32,350000
33,340000
34,730400
35,345000
36,199000
37,250000
38,816000
39,220000
40,365000
41,1700000
42,450000
43,1180000
44,240000
45,640000
46,470000
47,790000
48,370000
49,379500
50,425900
51,625000
52,259000
53,359000
54,399000
55,198000
56,620000
57,249000
58,415000
59,830000
60,845000
61,470000
62,395000
63,780000
64,269000
65,85000
66,470000
67,460000
68,1017000
69,570000
70,249000
71,169000
72,645000
73,980000
74,95000
75,220000
76,270000
77,299000
78,890000
79,255000
80,159000
81,365000
82,209000
83,285000
84,265000
85,1690000
86,909000
87,590000
88,715000
89,242000
90,185000
91,385000
92,269000
93,300000
94,299000
95,299800
96,369000
97,342000
98,365000
99,375000
100,245000
101,634000
102,950000
103,246000
104,335000
105,355000
106,262000
107,219000
108,264000
109,695000
110,1350000
111,107000
112,400000
113,760000
114,349000
115,459000
116,1350000
117,1900000
118,230000
119,1980000
120,198000
121,340000
122,360000
123,415000
124,315000
125,795000
126,458000
127,490500
128,759000
129,619000
130,177000
131,435000
132,370000
133,450000
134,305000
135,837000
136,345000
137,99000
138,430000
139,360000
140,265000
141,230000
142,1180000
143,310000
144,1040000
145,390000
146,395000
147,240000
148,475000
149,525000
150,299000
151,395000
152,655000
153,220000
154,420000
155,185000
156,475000
157,485000
158,1445000
159,268200
160,365800
161,270000
162,320000
163,390000
164,378000
165,365000
166,690000
167,579000
168,285000
169,435000
170,600000
171,840000
172,620000
173,289000
174,155000
175,795000
176,790000
177,248000
178,165000
179,550000
180,679000
181,330000
182,313000
183,1300000
184,260000
185,820000
186,299000
187,420000
188,350000
189,290000
190,430000
191,350000
192,1168000
193,445000
194,345000
195,565000
196,305000
197,242000
198,259000
199,707000
200,1750000
201,440000
202,285000
203,230000
204,990000
205,2850000
206,1020000
207,157500
208,429000
209,430000
210,189000
211,950000
212,210000
213,450000
214,1020000
215,235000
216,339000
217,348000
218,380000
219,290000
220,395000
221,890000
222,790000
223,315000
224,790000
225,335000
226,374100
227,335000
228,1300000
229,214000
230,830000
231,550000
232,1045000
233,460000
234,360000
235,1880000
236,448000
237,630000
238,679000
239,669000
240,129000
241,570000
242,395000
243,1399000
244,150000
245,619000
246,215000
247,663000
248,975000
249,195000
250,359000
251,440000
252,400000
253,468000
254,219000
255,340000
256,300000
257,499000
258,428000
259,236000
260,890000
261,680000
262,210000
263,628000
264,259000
265,665000
266,750000
267,285000
268,1250000
269,169000
270,238000
271,364000
272,500000
273,950000
274,1500000
275,740000
276,175000
277,493000
278,239000
279,564134
280,320000
281,2000000
282,330000
283,1670000
284,285000
285,279000
286,830000
287,275000
288,620000
289,185000
290,983000
291,530000
292,1420000
293,400000
294,1125000
295,730000
296,320000
297,315000
298,249000
299,640000
300,360000
301,400000
302,195000
303,335000
304,775000
305,323000
306,690000
307,270000
308,1125000
309,188000
310,836000
311,329000
312,195000
313,370000
314,1380000
315,139000
316,285000
317,780000
318,650000
319,340000
320,295000
321,320000
322,500000
323,204000
324,209000
325,270000
326,657000
327,567000
328,620000
329,260000
330,1360000
331,449000
332,198000
333,199000
334,1458000
335,142970
336,229000
337,340000
338,350000
339,390000
340,149000
341,215000
342,620000
343,264000
344,680000
345,365000
346,423000
347,219000
348,496500
349,190000
350,2050000
351,220000
352,260000
353,399000
